code,name,lat,lng,iso_country,iso_region,municipality
AAA,Anaa Airport,-17.3526001,-145.5099945,PF,PF-U-A,
AAB,Arrabury Airport,-26.693023,141.047771,AU,AU-QLD,
AAC,El Arish International Airport,31.07329941,33.83580017,EG,EG-SIN,El Arish
AAD,Adado Airport,6.095802,46.6375,SO,SO-GA,Adado
AAE,Rabah Bitat Airport,36.822201,7.809174,DZ,DZ-36,Annaba
AAF,Apalachicola Regional Airport,29.72750092,-85.02749634,US,US-FL,Apalachicola
AAG,Arapoti Airport,-24.10390091,-49.78910065,BR,BR-PR,Arapoti
AAH,Aachen-MerzbrÃ_ck Airport,50.82305527,6.186388969,DE,DE-NW,Aachen
AAI,Arraias Airport,-13.025154,-46.884107,BR,BR-TO,Arraias
AAJ,Cayana Airstrip,3.898681,-55.577907,SR,SR-SI,Awaradam
AAK,Buariki Airport,0.185277998,173.6369934,KI,KI-G,Buariki
AAL,Aalborg Airport,57.09275891,9.849243164,DK,DK-81,Aalborg
AAM,Malamala Airport,-24.81809998,31.54459953,ZA,ZA-NP,Malamala
AAN,Al Ain International Airport,24.26169968,55.60919952,AE,AE-AZ,Al Ain
AAO,Anaco Airport,9.430225372,-64.47072601,VE,VE-B,Anaco
AAP,Andrau Airpark,29.72249985,-95.58830261,US,US-TX,Houston
AAQ,Anapa Vityazevo Airport,45.0021019,37.34730148,RU,RU-KDA,Anapa
AAR,Aarhus Airport,56.29999924,10.61900043,DK,DK-82,Aarhus
AAS,Apalapsili Airport,-3.8832,139.3108,ID,ID-PA,Apalapsili
AAT,Altay Air Base,47.74988556,88.0858078,CN,CN-65,Altay
AAU,Asau Airport,-13.505132,-172.627888,WS,WS-VS,Asau
AAV,Allah Valley Airport,6.366819859,124.7509995,PH,PH-SCO,Surallah
AAX,Romeu Zema Airport,-19.5632,-46.96039963,BR,BR-MG,AraxÃ¡
AAY,Al Ghaidah International Airport,16.19169998,52.17499924,YE,YE-MR,
AAZ,Quezaltenango Airport,14.8656,-91.501999,GT,GT-QZ,Quezaltenango
ABA,Abakan Airport,53.74000168,91.38500214,RU,RU-KK,Abakan
ABB,Asaba International Airport,6.204167,6.665278,NG,NG-DE,Asaba
ABC,Albacete-Los Llanos Airport,38.94850159,-1.863520026,ES,ES-CM,Albacete
ABD,Abadan Airport,30.37109947,48.22829819,IR,IR-10,Abadan
ABE,Lehigh Valley International Airport,40.65209961,-75.44080353,US,US-PA,Allentown
ABF,Abaiang Airport,1.798609972,173.0410004,KI,KI-G,Abaiang
ABG,Abingdon Downs Airport,-17.61669922,143.1670074,AU,AU-QLD,
ABH,Alpha Airport,-23.646099,146.584,AU,AU-QLD,Alpha
ABI,Abilene Regional Airport,32.41130066,-99.68190002,US,US-TX,Abilene
ABJ,Port Bouet Airport,5.261390209,-3.926290035,CI,CI-01,Abidjan
ABK,Kabri Dehar Airport,6.734,44.252998,ET,ET-SO,Kabri Dehar
ABL,Ambler Airport,67.1063,-157.856989,US,US-AK,Ambler
ABM,Northern Peninsula Airport,-10.9508,142.459,AU,AU-QLD,Bamaga
ABN,Albina Airport,5.512720108,-54.05009842,SR,SR-MA,Albina
ABO,Aboisso Airport,5.461944,-3.234722,CI,CI-13,Aboisso
ABP,Atkamba Airport,-6.065555556,141.0952778,PG,PG-WPD,Atkamba Mission
ABQ,Albuquerque International Sunport,35.040199,-106.609001,US,US-NM,Albuquerque
ABR,Aberdeen Regional Airport,45.44910049,-98.42179871,US,US-SD,Aberdeen
ABS,Abu Simbel Airport,22.37599945,31.61170006,EG,EG-ASN,Abu Simbel
ABT,Al Baha Airport,20.29610062,41.63430023,SA,SA-11,
ABU,Haliwen Airport,-9.073049545,124.9049988,ID,ID-NT,Atambua-Timor Island
ABV,Nnamdi Azikiwe International Airport,9.006790161,7.263169765,NG,NG-FC,Abuja
ABW,Abau Airport,-10.1956,148.7389,PG,PG-CPM,Abau
ABX,Albury Airport,-36.06779861,146.9579926,AU,AU-NSW,Albury
ABY,Southwest Georgia Regional Airport,31.53549957,-84.19450378,US,US-GA,Albany
ABZ,Aberdeen Dyce Airport,57.20190048,-2.197779894,GB,GB-SCT,Aberdeen
ACA,General Juan N Alvarez International Airport,16.75709915,-99.7539978,MX,MX-GRO,Acapulco
ACB,Antrim County Airport,44.988602,-85.198402,US,US-MI,Bellaire
ACC,Kotoka International Airport,5.6051898,-0.166786,GH,GH-AA,Accra
ACD,Alcides FernÃ¡ndez Airport,8.51667,-77.3,CO,CO-CHO,AcandÃ_
ACE,Lanzarote Airport,28.945499,-13.6052,ES,ES-CN,Lanzarote Island
ACF,Brisbane Archerfield Airport,-27.57029915,153.0079956,AU,AU-QLD,Brisbane
ACH,St Gallen Altenrhein Airport,47.48500061,9.560770035,CH,CH-SG,Altenrhein
ACI,Alderney Airport,49.706104,-2.21472,GG,GG-U-A,Saint Anne
ACJ,Anuradhapura Air Force Base,8.30148983,80.42790222,LK,LK-7,Anuradhapura
ACK,Nantucket Memorial Airport,41.25310135,-70.06020355,US,US-MA,Nantucket
ACL,Aguaclara Airport,4.753611,-73.002778,CO,CO-CAS,Aguaclara
ACM,Arica Airport,-2.145437336,-71.75806046,CO,CO-AMA,Arica
ACN,Ciudad AcuÃ±a New International Airport,29.332899,-101.098998,MX,MX-COA,Ciudad AcuÃ±a
ACO,Ascona Airport,46.15779877,8.78194046,CH,CH-TI,Ascona
ACP,Sahand Airport,37.34799957,46.12789917,IR,IR-01,Maragheh
ACR,Araracuara Airport,-0.5833,-72.4083,CO,CO-CAQ,Araracuara
ACS,Achinsk Airport,56.2682991,90.57080078,RU,RU-KYA,Achinsk
ACT,Waco Regional Airport,31.61129951,-97.23049927,US,US-TX,Waco
ACU,Achutupo Airport,8.431659698,-77.96520233,PA,PA-5,Achutupo
ACV,California Redwood Coast-Humboldt County Airport,40.978101,-124.109,US,US-CA,Arcata/Eureka
ACX,Xingyi Airport,25.08638889,104.9594444,CN,CN-52,Xingyi
ACY,Atlantic City International Airport,39.45759964,-74.57720184,US,US-NJ,Atlantic City
ACZ,Zabol Airport,31.09830093,61.54389954,IR,IR-13,
ADA,Adana Airport,36.98220062,35.28039932,TR,TR-01,Adana
ADB,Adnan Menderes International Airport,38.29240036,27.15699959,TR,TR-35,Ä°zmir
