code,name,city,state,lat,lng
ABE,"Aberdeen, Maryland",Aberdeen,MD,39.508447,-76.16326
ABQ,"Albuquerque, New Mexico",Albuquerque,NM,35.082061,-106.647975
ACA,"Antioch-Pittsburg, California",Antioch-Pittsburg,CA,38.0177,-121.816024
ADM,"Ardmore, Oklahoma",Ardmore,OK,34.172465,-97.12551
AKY,"Ashland, Kentucky",Ashland,KY,38.480875,-82.639603
ALB,"Albany/Rensselaer, New York",Albany-Rensselaer,NY,42.641029,-73.741147
ALC,"Alliance, Ohio",Alliance,OH,40.921275,-81.092904
ALD,"Alderson, West Virginia",Alderson,WV,37.724277,-80.644856
ALI,"Albion, Michigan",Albion,MI,42.247196,-84.755814
ALN,"Alton, Illinois",Alton,IL,38.904723,-90.136276
ALP,"Alpine, Texas",Alpine,TX,30.357302,-103.661513
ALT,"Altoona, Pennsylvania",Altoona,PA,40.514475,-78.40162
ALX,"Alexandria, Virginia",Alexandria,VA,38.806503,-77.06233
ALY,"Albany, Oregon",Albany,OR,44.630464,-123.102774
AMS,"Amsterdam, New York",Amsterdam,NY,42.953719,-74.2195
ANA,"Anaheim, California",Anaheim,CA,33.803803,-117.877308
ARB,"Ann Arbor, Michigan",Ann Arbor,MI,42.287692,-83.743154
ARD,"Ardmore, Pennsylvania",Ardmore,PA,40.008278,-75.290399
ARK,"Arkadelphia, Arkansas",Arkadelphia,AR,34.113919,-93.053284
ARN,"Auburn, California",Auburn,CA,38.903638,-121.083187
ASD,"Ashland, Virginia",Ashland,VA,37.759596,-77.481304
ATL,"Atlanta, Georgia",Atlanta,GA,33.799445,-84.392477
ATN,"Anniston, Alabama",Anniston,AL,33.649112,-85.832145
ATR,"Artmore, Alabama",Artmore,AL,31.024229,-87.492747
AUS,"Austin, Texas",Austin,TX,30.269449,-97.75694
BAL,"Baltimore (Penn Station), Maryland",Baltimore,MD,39.307302,-76.615688
BAM,"Bangor, Michigan",Bangor,MI,42.314519,-86.111646
BAR,"Barstow (Amtrak), California",Barstow,CA,34.90482,-117.025435
BAS,"Bay St. Louis, Mississippi",Bay St. Louis,MS,30.3142,-89.333338
BBY,"Boston (Back Bay), Massachusetts",Boston,MA,42.347317,-71.075828
BCV,"Burke Centre, VA",Burke Centre,VA,38.797271,-77.29879
BEL,"Bellingham, Washington",Bellingham,WA,48.720263,-122.511255
BEN,"Benson, Arizona",Benson,AZ,31.968758,-110.296904
BER,"Berlin, Connecticut",Berlin,CT,41.635595,-72.765274
BFD,"Bakersfield, California",Bakersfield,CA,35.37214,-119.00821
BFX,"Buffalo (Exchange St), New York",Buffalo- Exchange St.,NY,42.878449,-78.873748
BHM,"Birmingham, Alabama",Birmingham,AL,33.512801,-86.806614
BIX,"Biloxi, Mississippi",Biloxi,MS,30.408387,-88.885375
BKY,"Berkeley, California",Berkeley,CA,37.867254,-122.300707
